epoch,train_loss,valid_loss,mcc,IoU,F0.5,time
0,0.223294,0.273334,0.000000,0.040337,0.173665,00:16
1,0.218629,0.284747,0.000000,0.037068,0.161407,00:09
2,0.216028,0.267171,0.000000,0.034371,0.151082,00:09
3,0.209114,0.314210,0.000000,0.037731,0.163915,00:09
4,0.202330,0.303768,0.000000,0.035510,0.155466,00:09
5,0.195206,0.282943,0.000000,0.034350,0.151001,00:09
6,0.187384,0.417864,0.000000,0.036107,0.157750,00:09
7,0.180720,0.592907,0.000000,0.033465,0.147569,00:09
8,0.173348,0.641411,0.000000,0.035027,0.153612,00:09
9,0.167281,0.447028,0.000000,0.037082,0.161462,00:08
10,0.161307,0.496394,0.000000,0.038016,0.164991,00:09
11,0.156484,0.448984,0.000601,0.033235,0.146675,00:09
12,0.151762,0.405063,0.000587,0.036050,0.157535,00:09
13,0.147483,0.366102,0.006745,0.037294,0.162266,00:09
14,0.143221,0.317075,0.014049,0.031994,0.141814,00:09
15,0.139241,0.282037,0.023080,0.036324,0.158476,00:09
16,0.135409,0.193002,0.145822,0.061697,0.240501,00:09
17,0.131638,0.165812,0.523162,0.369720,0.568326,00:09
18,0.128507,0.124706,0.440790,0.291380,0.531601,00:09
19,0.125429,0.175875,0.156858,0.061832,0.242588,00:09
20,0.122700,0.237012,0.075469,0.048519,0.199504,00:08
21,0.119328,0.212121,0.042143,0.044402,0.179541,00:09
22,0.115751,0.143738,0.313894,0.198702,0.392548,00:09
23,0.112495,0.130449,0.423617,0.191974,0.230350,00:09
24,0.109788,0.106484,0.612136,0.440458,0.552320,00:09
25,0.106827,0.301459,0.053602,0.041654,0.175933,00:09
26,0.104238,0.099599,0.286202,0.166426,0.398919,00:09
27,0.101517,0.122077,0.150749,0.077359,0.270875,00:08
28,0.099223,0.143177,0.438682,0.268622,0.568355,00:09
29,0.096763,0.135514,0.302496,0.159276,0.435023,00:08
30,0.094155,0.118494,0.637856,0.476202,0.598700,00:08
31,0.091922,0.092367,0.632327,0.446403,0.531584,00:09
32,0.089733,0.191189,0.279937,0.131505,0.407044,00:09
33,0.087122,0.113602,0.576639,0.365380,0.430852,00:09
34,0.085616,0.116249,0.615919,0.453924,0.587206,00:09
35,0.083667,0.099794,0.640273,0.470463,0.577484,00:08
36,0.082089,0.102378,0.630205,0.470337,0.607132,00:08
37,0.080290,0.099465,0.642355,0.453235,0.531482,00:09
38,0.078369,0.081911,0.728941,0.582188,0.707299,00:08
39,0.076756,0.115757,0.598934,0.428588,0.689756,00:09
40,0.075131,0.114255,0.298675,0.153715,0.431021,00:09
41,0.073810,0.104540,0.684101,0.528228,0.666067,00:09
42,0.072226,0.128613,0.425379,0.255236,0.559276,00:09
43,0.070865,0.101179,0.678803,0.524750,0.717329,00:09
44,0.068711,0.099441,0.427318,0.262147,0.551187,00:09
45,0.067498,0.103065,0.680458,0.527419,0.666629,00:09
46,0.066222,0.100853,0.627078,0.463394,0.707520,00:08
47,0.064661,0.109165,0.705851,0.556859,0.748253,00:09
48,0.063296,0.078689,0.668092,0.483510,0.560897,00:09
49,0.061650,0.083235,0.716846,0.566103,0.689512,00:09
50,0.060927,0.099402,0.663235,0.487100,0.575521,00:09
51,0.059918,0.087542,0.633240,0.423578,0.486469,00:08
52,0.058807,0.118117,0.680769,0.518339,0.624517,00:08
53,0.058000,0.078622,0.681897,0.519956,0.630308,00:09
54,0.056830,0.087627,0.674037,0.502546,0.596944,00:09
55,0.055989,0.114336,0.647763,0.484645,0.725396,00:09
56,0.054842,0.087508,0.639080,0.483354,0.677997,00:08
57,0.054152,0.104509,0.660012,0.500623,0.727161,00:09
58,0.053774,0.068863,0.708455,0.544597,0.637966,00:09
59,0.053002,0.080556,0.705974,0.556392,0.690141,00:09
60,0.052302,0.084985,0.676507,0.524743,0.677136,00:09
61,0.051048,0.086074,0.696953,0.546804,0.692261,00:09
62,0.050258,0.083680,0.712727,0.565236,0.704979,00:09
63,0.050019,0.066004,0.689090,0.519253,0.611126,00:08
64,0.049351,0.075233,0.719025,0.572130,0.709458,00:09
65,0.048757,0.076982,0.670494,0.515938,0.680676,00:09
66,0.048047,0.077560,0.684659,0.527101,0.648712,00:09
67,0.047383,0.090524,0.699010,0.545817,0.673033,00:09
68,0.047241,0.071874,0.705756,0.552711,0.673456,00:08
69,0.046508,0.060881,0.708452,0.552492,0.663551,00:09
70,0.046375,0.072948,0.704649,0.554620,0.699374,00:09
71,0.045746,0.078862,0.686626,0.527484,0.643930,00:08
72,0.045601,0.075474,0.721469,0.568708,0.677112,00:09
73,0.045527,0.086421,0.715043,0.565626,0.687373,00:09
74,0.045254,0.086844,0.691859,0.534641,0.649270,00:09
75,0.045360,0.090446,0.704509,0.556428,0.701926,00:09
76,0.044949,0.074698,0.726230,0.582164,0.736640,00:09
77,0.044522,0.077307,0.718697,0.571112,0.700528,00:08
78,0.043915,0.074828,0.708385,0.556687,0.678628,00:09
79,0.043236,0.073444,0.714323,0.566985,0.705274,00:08
80,0.042927,0.069436,0.699755,0.550130,0.703427,00:09
81,0.042529,0.073624,0.721441,0.576526,0.721119,00:08
82,0.041943,0.069099,0.701712,0.553212,0.697459,00:08
83,0.041498,0.061705,0.730391,0.586109,0.719659,00:09
84,0.041371,0.069767,0.705826,0.551566,0.669782,00:08
85,0.040472,0.067052,0.708063,0.555980,0.683894,00:09
86,0.040480,0.067481,0.745978,0.605097,0.732097,00:08
87,0.040293,0.068644,0.717397,0.567347,0.688499,00:09
88,0.039915,0.071701,0.723027,0.573362,0.689104,00:08
89,0.039724,0.071350,0.722205,0.574299,0.696768,00:08
90,0.039344,0.065506,0.720003,0.572367,0.702940,00:08
91,0.039424,0.075964,0.728436,0.584565,0.720239,00:09
92,0.039486,0.054918,0.706305,0.554410,0.692381,00:09
93,0.039499,0.075298,0.728573,0.584680,0.717308,00:08
94,0.039380,0.071467,0.705500,0.555744,0.692783,00:08
95,0.039058,0.068729,0.732667,0.589147,0.724488,00:08
96,0.038759,0.065931,0.731354,0.586821,0.722957,00:08
97,0.038931,0.074295,0.715416,0.566733,0.695374,00:09
98,0.039034,0.064290,0.705427,0.553518,0.686411,00:09
99,0.038642,0.078717,0.710240,0.561520,0.695013,00:08
